TimeAsCustomer,DriverAge,policy_number,policy_bind_date,policy_state,policy_csl,InsuranceAccess,InsurancePremium,umbrella_limit,insured_zip,DriverGender,EducationLevel,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,AccidentType,collision_type,IncidentSeverity,AuthoritiesInvolved,incident_state,incident_city,incident_location,IncidentTime,NumVehiclesInvolved,property_damage,NumBodilyInjuries,witnesses,PoliceReportBool,TotalClaimAmount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,VehicleYear,Fraud,_c39
140,31,275265,2004-11-15,IN,500/1000,500,709,6000000,470610,MALE,High School,machine-op-inspct,reading,unmarried,53500,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,NO,0,2,YES,77880,14160,7080,56640,Suburu,Legacy,2015,N,
160,37,921202,2014-12-28,OH,500/1000,500,1374,0,472135,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,YES,1,0,NO,72930,6630,13260,53040,Accura,TL,2015,N,
196,39,143972,1992-08-02,IN,500/1000,2000,1476,0,477670,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,NO,2,0,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014,N,
460,62,183430,2002-06-25,IN,250/500,1000,1188,4000000,618845,MALE,JD,other-service,bungie-jumping,own-child,0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,NO,47160,0,5240,41920,Suburu,Impreza,2011,N,
217,41,431876,2005-11-27,IL,500/1000,2000,875,0,442479,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,NO,1,2,NO,37840,0,4730,33110,Accura,RSX,1996,N,
237,40,736882,1996-02-02,IN,100/300,1000,883,0,434733,MALE,College,craft-repair,kayaking,husband,0,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,3,NO,77880,7080,14160,56640,Ford,Escape,2005,N,
257,43,863236,1990-09-20,IN,100/300,2000,1322,0,436984,MALE,High School,prof-specialty,golf,own-child,0,-29200,2015-01-28,Parked Car,,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,YES,1,3,YES,9020,1640,820,6560,Toyota,Camry,2005,N,
224,40,914088,1990-02-08,OH,100/300,2000,1292,0,609837,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,NO,1,0,YES,69840,7760,15520,46560,Dodge,Neon,2009,N,
241,45,596785,2014-03-04,IL,500/1000,2000,1104,0,432211,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,NO,2,2,NO,91650,14100,14100,63450,Accura,TL,2011,N,
64,25,908616,2000-02-18,IL,250/500,1000,954,0,473328,MALE,Masters,prof-specialty,video-games,husband,53200,0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,NO,0,0,NO,75600,12600,12600,50400,Toyota,Corolla,2005,N,
155,35,336614,2003-08-01,IL,500/1000,1000,1088,0,614780,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,3 Series,2008,N,
114,30,584859,1992-04-04,IL,100/300,1000,1558,0,472248,MALE,High School,farming-fishing,video-games,wife,51400,-64000,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,NO,77110,14020,14020,49070,Suburu,Impreza,2015,N,
149,37,990493,1991-01-13,IL,500/1000,500,1416,0,603381,MALE,PhD,prof-specialty,yachting,own-child,0,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,YES,0,1,YES,64800,10800,5400,48600,Audi,A3,1999,N,
289,49,933293,1993-02-03,IL,500/1000,2000,1222,0,620757,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,2015-01-18,Parked Car,,Minor Damage,None,WV,Arlington,6676 Tree Lane,16,1,NO,1,1,YES,5330,1230,820,3280,Suburu,Legacy,2001,N,
431,54,485664,2002-11-25,IN,500/1000,2000,1156,0,615901,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,NO,2,0,NO,62300,12460,6230,43610,Jeep,Wrangler,2007,N,
79,26,206213,1995-05-08,IL,100/300,500,1452,0,456446,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,NO,40000,8000,4000,28000,BMW,M5,2010,N,
37,23,448961,2006-04-30,IL,500/1000,500,1476,0,441648,FEMALE,College,prof-specialty,hiking,husband,0,-67400,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,RAM,2010,N,
106,30,790442,2003-04-13,OH,250/500,500,538,0,433782,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,NO,2,2,NO,51120,5680,5680,39760,Mercedes,E400,2005,N,
269,44,108844,2007-12-05,IL,100/300,2000,1081,0,468104,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,YES,0,2,NO,56400,11280,11280,33840,Toyota,Highlander,2014,N,
265,40,430029,2006-08-21,IL,250/500,1000,1454,0,459407,FEMALE,MD,protective-serv,yachting,husband,0,0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,3,NO,55120,6890,0,48230,Accura,MDX,2002,N,
163,33,529112,1990-01-08,IN,100/300,500,1240,0,472573,FEMALE,Associate,other-service,polo,husband,35300,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,NO,77110,0,14020,63090,Honda,Civic,2014,N,
175,34,866931,2008-01-07,IN,500/1000,1000,1124,8000000,446326,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,2015-02-26,Vehicle Theft,,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,NO,2,0,YES,7290,810,810,5670,Volkswagen,Passat,1995,N,
192,35,582011,1997-03-10,IL,100/300,1000,1246,0,435481,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,NO,0,0,NO,76600,15320,7660,53620,Mercedes,C300,2000,N,
430,59,691189,2004-01-10,OH,250/500,2000,1327,7000000,477310,MALE,MD,other-service,bungie-jumping,own-child,0,0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,NO,0,3,YES,81800,16360,8180,57260,Nissan,Pathfinder,1998,N,
91,27,537546,1994-08-20,IL,100/300,2000,1074,0,609930,FEMALE,JD,farming-fishing,polo,husband,0,0,2015-01-17,Vehicle Theft,,Trivial Damage,None,NY,Arlington,2280 4th Ave,4,1,NO,1,2,NO,7260,1320,660,5280,BMW,M5,2008,N,
217,39,394975,2002-06-02,IN,100/300,1000,1531,0,603993,MALE,College,armed-forces,basketball,not-in-family,0,0,2015-02-22,Vehicle Theft,,Minor Damage,None,WV,Northbend,2644 Elm Drive,8,1,NO,2,1,YES,4300,430,430,3440,Toyota,Corolla,2000,N,
223,40,729634,1994-04-28,IN,100/300,500,1201,0,437818,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,3,YES,1,0,NO,70510,12820,12820,44870,Suburu,Forrestor,1999,N,
195,39,282195,2014-08-17,OH,250/500,1000,1394,0,478423,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,2015-02-27,Parked Car,,Minor Damage,Police,VA,Northbend,5821 2nd St,5,1,NO,0,1,YES,2640,480,480,1680,Ford,F150,2009,N,
22,26,420810,2007-08-11,OH,100/300,1000,1277,0,467784,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,1,YES,1,2,NO,78900,15780,7890,55230,Chevrolet,Silverado,1995,N,
439,56,524836,2008-11-20,IN,250/500,500,1082,0,606714,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,3,NO,2,3,NO,56430,0,6270,50160,Honda,CRV,2014,N,
94,32,307195,1995-10-18,IN,500/1000,1000,1415,0,464691,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,2015-02-22,Parked Car,,Minor Damage,None,VA,Riverwood,5418 Britain Ave,19,1,NO,1,3,NO,2400,300,300,1800,Chevrolet,Silverado,2014,N,
11,39,623648,1993-05-19,IL,250/500,2000,1470,0,431683,MALE,PhD,other-service,yachting,husband,56600,-45800,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,YES,0,1,NO,65790,7310,7310,51170,Saab,93,2007,N,
151,36,485372,2005-02-26,OH,250/500,2000,871,0,431725,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,3,NO,1,1,NO,62920,11440,5720,45760,Ford,Escape,2000,N,
245,44,303987,1993-09-30,IL,500/1000,1000,1168,0,452787,MALE,JD,handlers-cleaners,basketball,husband,69100,0,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,23,3,NO,0,3,NO,44280,7380,3690,33210,Honda,Accord,1997,N,
119,32,343161,2014-06-10,IL,500/1000,1000,994,0,468767,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,M5,2011,N,
478,64,346002,1990-08-20,OH,250/500,500,835,0,602433,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,X6,1998,N,
128,30,500533,1994-02-11,OH,100/300,1000,1061,0,478575,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,5783 Oak Ave,8,1,NO,0,3,NO,68530,12460,6230,49840,Audi,A5,1997,N,
338,49,348209,1994-02-22,IN,500/1000,1000,1279,0,449718,MALE,MD,other-service,kayaking,own-child,0,-51500,2015-02-27,Parked Car,,Minor Damage,None,NC,Riverwood,7721 Washington Ridge,13,1,NO,0,1,NO,4300,860,860,2580,Ford,F150,2004,N,
199,41,657045,1995-12-04,OH,250/500,1000,896,0,452597,FEMALE,Associate,sales,paintball,husband,0,0,2015-02-11,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,2324 Texas Ridge,10,1,NO,1,2,NO,30100,3010,0,27090,Chevrolet,Malibu,1999,N,
215,37,761189,2002-12-28,IN,100/300,500,1633,0,614417,FEMALE,College,transport-moving,golf,not-in-family,0,-42900,2015-02-23,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7923 Elm Ave,7,3,NO,2,0,YES,57120,9520,4760,42840,Mercedes,C300,2002,N,
192,40,175177,2004-04-15,IL,100/300,1000,1406,0,472895,FEMALE,Associate,sales,yachting,wife,0,0,2015-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,4755 Best Lane,18,3,YES,1,0,YES,42930,9540,4770,28620,BMW,X6,2005,N,
120,35,116700,2001-02-02,OH,100/300,1000,1426,0,475847,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0,2015-01-15,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,5053 Tree Drive,22,3,NO,2,0,NO,51210,11380,5690,34140,Ford,Fusion,2010,N,
270,45,166264,2010-01-12,OH,500/1000,1000,1038,0,476978,FEMALE,College,handlers-cleaners,golf,husband,0,-19700,2015-01-14,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,2078 3rd Ave,18,3,NO,1,1,YES,89400,14900,7450,67050,Suburu,Legacy,1998,N,
319,47,527945,1992-04-14,IN,250/500,500,1307,0,600648,MALE,College,transport-moving,dancing,not-in-family,0,0,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,2804 Best St,22,3,NO,0,2,NO,59730,10860,10860,38010,Audi,A3,2005,N,
194,39,627540,2010-05-21,OH,500/1000,1000,1489,6000000,608335,FEMALE,JD,other-service,kayaking,wife,0,-45000,2015-01-24,Vehicle Theft,,Minor Damage,None,SC,Springfield,7877 Sky Lane,15,1,YES,2,2,YES,8060,1240,1240,5580,Saab,95,2004,N,
137,31,484200,1994-10-12,OH,250/500,2000,1340,0,441175,MALE,High School,exec-managerial,paintball,husband,52700,-40600,2015-02-19,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,3087 Oak Hwy,6,3,NO,1,2,NO,50800,10160,10160,30480,Accura,MDX,2005,N,
244,40,645258,1997-07-04,OH,500/1000,2000,1268,5000000,603123,FEMALE,Masters,exec-managerial,video-games,wife,0,0,2015-01-03,Vehicle Theft,,Trivial Damage,None,NC,Northbrook,7098 Lincoln Hwy,10,1,NO,2,1,NO,6600,660,1320,4620,Accura,TL,2005,N,
78,29,694662,2011-02-15,IL,250/500,1000,1234,6000000,457767,MALE,Masters,other-service,bungie-jumping,other-relative,0,0,2015-01-29,Vehicle Theft,,Minor Damage,Police,NY,Northbrook,5124 Maple St,3,1,YES,2,2,NO,7500,750,1500,5250,Nissan,Maxima,2002,N,
200,35,960680,1994-08-21,IN,250/500,2000,1318,0,618498,MALE,High School,exec-managerial,video-games,wife,57300,-80600,2015-01-19,Vehicle Theft,,Trivial Damage,None,VA,Hillsdale,2333 Maple Lane,13,1,NO,0,3,YES,6490,1180,1180,4130,Volkswagen,Jetta,2002,N,
275,41,498875,1996-10-26,OH,100/300,2000,1515,0,617970,MALE,High School,transport-moving,board-games,own-child,35700,0,2015-02-02,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,7477 MLK Drive,13,3,YES,0,1,NO,58300,5830,11660,40810,Suburu,Legacy,2007,N,
153,34,798177,2006-03-04,IL,500/1000,1000,874,4000000,432934,FEMALE,Associate,priv-house-serv,yachting,husband,800,0,2015-01-30,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9489 3rd St,9,3,NO,2,1,NO,68400,11400,11400,45600,Ford,F150,2007,N,
134,32,614763,1991-01-02,IL,500/1000,500,1612,0,456762,FEMALE,MD,other-service,yachting,own-child,36400,0,2015-01-08,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2087 Apache Ave,2,1,NO,2,1,YES,64240,11680,11680,40880,BMW,3 Series,2015,N,
31,36,679370,1999-08-15,IL,500/1000,2000,1318,9000000,601748,FEMALE,College,prof-specialty,kayaking,not-in-family,0,-78600,2015-01-30,Parked Car,,Trivial Damage,None,WV,Arlington,5540 Sky St,9,1,NO,0,1,YES,4700,940,470,3290,Dodge,Neon,2002,N,
127,29,686816,1999-12-07,OH,250/500,2000,1326,5000000,436973,FEMALE,High School,sales,board-games,own-child,0,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,8442 Britain Hwy,12,2,YES,1,1,NO,66950,10300,10300,46350,Saab,93,1995,N,
207,42,918629,2000-10-03,IL,250/500,2000,1323,0,453277,MALE,PhD,farming-fishing,yachting,own-child,55200,0,2015-02-28,Parked Car,,Trivial Damage,None,WV,Springfield,5260 Francis Drive,9,1,NO,0,1,NO,5900,590,590,4720,BMW,X5,2007,N,
219,43,731450,2010-12-29,IN,100/300,1000,1483,0,465100,FEMALE,MD,exec-managerial,exercise,not-in-family,90700,-20800,2015-02-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,1135 Solo Lane,3,3,NO,1,1,NO,70680,5890,11780,53010,Ford,Fusion,2009,N,
271,42,307447,1990-03-17,IL,100/300,500,1515,0,603248,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0,0,2015-01-19,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9737 Solo Hwy,21,3,NO,1,0,NO,93720,17040,8520,68160,Mercedes,ML350,2005,N,
80,25,992145,2012-03-01,IL,100/300,2000,1075,5000000,601112,FEMALE,PhD,armed-forces,exercise,husband,67700,-58400,2015-02-21,Vehicle Theft,,Minor Damage,None,OH,Northbrook,3289 Britain Drive,5,1,NO,2,0,YES,6930,1260,630,5040,Toyota,Highlander,2001,N,
295,48,740019,2009-06-17,OH,250/500,1000,1149,0,439787,FEMALE,College,machine-op-inspct,kayaking,wife,0,0,2015-02-22,Parked Car,,Trivial Damage,None,WV,Columbus,3998 Flute St,6,1,NO,1,2,YES,5400,900,900,3600,Saab,95,1999,N,
239,42,246882,1999-09-20,IL,100/300,1000,970,0,464839,MALE,College,exec-managerial,reading,not-in-family,0,0,2015-01-26,Vehicle Theft,,Trivial Damage,None,NC,Northbrook,2430 MLK Ave,10,1,NO,0,0,NO,5600,700,700,4200,Audi,A3,2007,N,
269,41,797613,1990-10-19,IN,100/300,500,1464,0,448984,FEMALE,College,protective-serv,yachting,not-in-family,0,-72300,2015-01-24,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,7717 Britain Hwy,23,1,YES,0,0,NO,79300,15860,15860,47580,Saab,92x,2007,N,
80,27,193442,1996-08-05,IL,100/300,1000,1474,0,440327,FEMALE,College,tech-support,exercise,unmarried,0,0,2015-02-19,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,7773 Tree Hwy,13,1,YES,1,0,YES,52800,10560,5280,36960,Saab,95,2004,N,
279,41,389238,2001-06-06,IL,250/500,500,1497,0,460742,FEMALE,JD,prof-specialty,bungie-jumping,husband,37300,-31700,2015-01-29,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,2199 Texas Drive,16,3,NO,2,3,NO,28800,0,3600,25200,Ford,Fusion,2013,N,
165,33,760179,2007-03-25,OH,100/300,1000,1427,0,446895,FEMALE,Associate,tech-support,kayaking,other-relative,35300,-58100,2015-02-15,Parked Car,,Minor Damage,Police,WV,Northbend,1028 Sky Lane,3,1,NO,1,1,NO,2970,330,330,2310,Toyota,Highlander,2008,N,
350,54,939905,2013-10-31,OH,500/1000,500,1495,0,609374,MALE,College,other-service,basketball,wife,50500,0,2015-02-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,4154 Lincoln Hwy,15,3,NO,0,0,NO,93480,15580,7790,70110,Chevrolet,Malibu,2014,N,
295,49,872814,1992-06-13,IL,100/300,500,1142,0,451672,MALE,College,prof-specialty,kayaking,husband,34300,-24300,2015-01-01,Vehicle Theft,,Minor Damage,None,WV,Columbus,8085 Andromedia St,4,1,YES,1,3,YES,4320,480,480,3360,Mercedes,E400,2002,N,
118,28,283414,1991-12-28,IN,500/1000,2000,1207,0,432896,FEMALE,High School,handlers-cleaners,camping,own-child,0,-57000,2015-03-01,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Columbus,7428 Sky Hwy,22,2,NO,1,0,NO,74200,7420,14840,51940,Volkswagen,Passat,1997,N,
261,42,776860,2009-01-11,OH,250/500,500,1338,0,605141,FEMALE,College,prof-specialty,video-games,unmarried,0,0,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Riverwood,5211 Weaver Drive,18,1,NO,1,2,YES,74700,7470,14940,52290,Dodge,RAM,2010,N,
210,41,395269,2012-11-02,IL,500/1000,500,1223,0,432781,MALE,High School,exec-managerial,polo,other-relative,0,-41000,2015-01-30,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Columbus,1454 5th Ridge,12,3,NO,2,0,NO,81070,14740,14740,51590,BMW,X5,2001,N,
168,32,981123,2000-05-04,IN,100/300,1000,1060,0,452748,MALE,MD,protective-serv,camping,own-child,0,-40600,2015-03-01,Multi-vehicle Collision,Side Collision,Major Damage,Other,VA,Hillsdale,5622 Best Ridge,13,2,NO,1,1,NO,57720,14430,9620,33670,Saab,93,2007,N,
390,51,143626,1999-09-29,OH,250/500,2000,1124,0,618316,MALE,Associate,armed-forces,reading,other-relative,0,0,2015-02-24,Vehicle Theft,,Minor Damage,None,VA,Northbrook,4574 Britain Hwy,9,1,YES,1,1,YES,7080,1180,1180,4720,Ford,F150,2001,N,
107,31,154982,1991-02-13,IL,500/1000,2000,1374,0,470603,FEMALE,PhD,machine-op-inspct,bungie-jumping,other-relative,62000,-63100,2015-02-26,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Hillsdale,8118 Elm Ridge,16,1,NO,0,3,NO,51260,9320,9320,32620,Suburu,Legacy,2002,N,
164,38,319232,1997-10-31,IL,250/500,2000,1270,0,467743,FEMALE,PhD,transport-moving,yachting,not-in-family,44300,0,2015-01-17,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Hillsdale,4614 MLK Ave,4,1,NO,1,3,YES,90000,18000,9000,63000,Ford,Fusion,2015,N,
245,39,531640,2001-04-21,OH,250/500,500,965,8000000,460675,FEMALE,Associate,adm-clerical,camping,husband,58000,0,2015-02-20,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,1628 Best Drive,7,3,NO,0,1,NO,72820,13240,6620,52960,BMW,3 Series,2010,N,
255,41,368050,2013-01-08,IL,500/1000,2000,1167,4000000,618123,MALE,High School,priv-house-serv,board-games,other-relative,0,0,2015-02-22,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Hillsdale,8381 Solo Hwy,22,1,NO,2,0,NO,69300,13860,13860,41580,Volkswagen,Passat,2000,N,
22,25,824540,2008-03-13,OH,250/500,2000,1053,0,603527,FEMALE,College,prof-specialty,movies,other-relative,51100,0,2015-01-05,Multi-vehicle Collision,Front Collision,Total Loss,Other,NC,Arlington,7551 Britain Lane,0,4,YES,1,0,NO,77130,8570,17140,51420,Accura,MDX,1995,N,
211,35,717392,1996-08-20,IL,100/300,500,1041,0,445601,FEMALE,JD,prof-specialty,paintball,not-in-family,0,0,2015-02-03,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,2275 Best Lane,1,1,YES,1,1,NO,42000,7000,7000,28000,BMW,X5,2011,N,
